,0.5,1.0
0.0,-78.60567036461983,-76.66685884628816
0.20080321285140562,-78.16291475360485,-76.37391399115218
0.40160642570281124,-77.76637010278966,-76.099158918773
0.6024096385542168,-77.40786945026606,-75.83831972370027
0.8032128514056225,-77.08043480639279,-75.5876333778493
1.0040160642570282,-76.77807704763089,-75.34374798299339
1.2048192771084336,-76.49562615052547,-75.10363667167402
1.4056224899598393,-76.21689152285363,-74.86744657198629
1.606425702811245,-75.95089351378321,-74.63311227642053
1.8072289156626506,-75.68855748205459,-74.40024091869293
2.0080321285140563,-75.43594482950786,-74.1727464123101
2.208835341365462,-75.18635844400544,-73.94789856146464
2.4096385542168672,-74.94515707917205,-73.73033830356003
2.610441767068273,-74.70680647351001,-73.51527244769491
2.8112449799196786,-74.47633050796941,-73.3070519093364
3.0120481927710845,-74.24854061918384,-73.10118289856156
3.21285140562249,-74.0281467385084,-72.90174442975267
3.4136546184738954,-73.81028440329412,-72.70452340903269
3.6144578313253013,-73.5993692111364,-72.51334393838403
3.8152610441767068,-73.39084055202771,-72.32425608366624
4.016064257028113,-73.18883808006898,-72.14084496171645
4.216867469879518,-72.98908605485256,-71.95940735743241
4.417670682730924,-72.79546542825135,-71.78330433464586
4.618473895582329,-72.60396753241466,-71.60906398375475
4.8192771084337345,-72.41414249861819,-71.4362965701845
5.020080321285141,-72.22895365424176,-71.26756843176416
5.220883534136546,-72.04576503502972,-71.10059652058766
5.421686746987952,-71.86415483243744,-70.935015406513
5.622489959839357,-71.68690118575562,-70.77096935379804
5.823293172690763,-71.5115327736803,-70.60785931660257
6.024096385542169,-71.33765409560507,-70.44584476342553
6.224899598393574,-71.16732121397486,-70.28497270118379
6.42570281124498,-70.99859095606149,-70.12567846991354
6.626506024096385,-70.83121424852897,-69.96792290460259
6.827309236947791,-70.66669825833412,-69.81162727967742
7.028112449799197,-70.50373487973269,-69.65702288125934
7.228915662650603,-70.34213339691887,-69.50403540171364
7.429718875502008,-70.18297116556803,-69.35257016637176
7.6305220883534135,-70.0253526084049,-69.20276270168605
7.831325301204819,-69.8691209429512,-69.0545444212579
8.032128514056225,-69.71503696982727,-68.90783167337774
8.23293172690763,-69.56248200480479,-68.76270712684654
8.433734939759036,-69.41132533960416,-68.61911489519063
8.634538152610443,-69.26210015441166,-68.47698624044686
8.835341365461847,-69.11437638700859,-68.3363712463276
9.036144578313253,-68.96804537812308,-68.1972253332074
9.236947791164658,-68.82347833095302,-68.05949281495039
9.437751004016064,-68.68037450419976,-67.92320248015527
9.638554216867469,-68.53864402144463,-67.7883183126497
9.839357429718875,-68.39854341298219,-67.65479491561203
10.040160642570282,-68.25986085470319,-67.52264681580573
10.240963855421686,-68.1225222116352,-67.39184418000731
10.441767068273093,-67.98615634425288,-67.26234946340143
10.642570281124497,-67.85065264405107,-67.13406151815897
10.843373493975903,-67.71651664861612,-67.00688038359425
11.04417670682731,-67.5836871810918,-66.8808265526508
11.244979919678714,-67.45188512379366,-66.75590404774985
11.44578313253012,-67.32100547166856,-66.63206182972974
11.646586345381525,-67.19139175387197,-66.50923990955363
11.847389558232932,-67.06300442485171,-66.38745836878012
12.048192771084338,-66.9356413930456,-66.26672510731831
12.248995983935743,-66.80921388144064,-66.1468280257432
12.449799196787149,-66.68395725135946,-66.02736442486915
12.650602409638553,-66.5598475944374,-65.90873329269878
12.85140562248996,-66.43673979608064,-65.7906677878614
13.052208835341366,-66.31451782823402,-65.67347287995675
13.25301204819277,-66.19325525308201,-65.55691334101382
13.453815261044177,-66.07303142329698,-65.44120331119458
13.654618473895582,-65.95367605043845,-65.32617451788357
13.855421686746988,-65.83517867072469,-65.21200852152215
14.056224899598394,-65.71753574940394,-65.0985416998912
14.257028112449799,-65.60085693611771,-64.98591290723809
14.457831325301205,-65.48497753154017,-64.87399448032784
14.65863453815261,-65.36993394334175,-64.76291543546596
14.859437751004016,-65.25568391330732,-64.65254474772202
15.060240963855422,-65.1423408754511,-64.5429895902761
15.261044176706827,-65.02975404446398,-64.43414008315715
15.461847389558233,-64.91798118520478,-64.32610139244981
15.662650602409638,-64.80695977314029,-64.2187589924741
15.863453815261044,-64.69679831291502,-64.11220569205094
16.06425702811245,-64.58736045426552,-64.00634048307887
16.265060240963855,-64.47871371588272,-63.9012564287185
16.46586345381526,-64.37078483071024,-63.79684868837507
16.666666666666668,-64.26367523407315,-63.69320257135892
16.867469879518072,-64.15726122878532,-63.590222501259596
17.068273092369477,-64.0516144946436,-63.48799435028305
17.269076305220885,-63.94665629819055,-63.38641994763688
17.46987951807229,-63.8424811133404,-63.285579829817486
17.670682730923694,-63.73897576535522,-63.1853825358109
17.8714859437751,-63.6362132175785,-63.08590888371691
18.072289156626507,-63.53411237732067,-62.9870659377561
18.27309236947791,-63.43224841399047,-62.88893056155637
18.473895582329316,-63.33109142251657,-62.79141489889199
18.674698795180724,-63.2305792541224,-62.69449617275129
18.87550200803213,-63.13078458318827,-62.59819739909377
19.076305220883533,-63.031625873034855,-62.50248884009685
19.277108433734938,-62.9328126940356,-62.40740244900252
19.477911646586346,-62.83466573033502,-62.31289932519853
19.67871485943775,-62.73713424051126,-62.21894791513312
19.879518072289155,-62.64027667180432,-62.12558023876131
20.080321285140563,-62.54402649013563,-62.032761960822995
20.281124497991968,-62.448180151910144,-61.940529261725445
20.481927710843372,-62.35296151676099,-61.84884258387875
20.68273092369478,-62.25832601390318,-61.75769051003012
20.883534136546185,-62.164323923897726,-61.66677972890709
21.08433734939759,-62.070898512275754,-61.576335368097325
