,0.5,1.0
0.0,0.0,0.20080321285140562
0.20080321285140562,0.0,0.40160642570281124
0.40160642570281124,0.20080321285140562,0.6024096385542168
0.6024096385542168,0.40160642570281124,0.8032128514056225
0.8032128514056225,0.6024096385542168,1.0040160642570282
1.0040160642570282,0.8032128514056225,1.2048192771084336
1.2048192771084336,1.0040160642570282,1.4056224899598393
1.4056224899598393,1.0040160642570282,1.606425702811245
1.606425702811245,1.2048192771084336,1.8072289156626506
1.8072289156626506,1.4056224899598393,1.8072289156626506
2.0080321285140563,1.606425702811245,2.0080321285140563
2.208835341365462,1.8072289156626506,2.208835341365462
2.4096385542168672,2.0080321285140563,2.4096385542168672
2.610441767068273,2.208835341365462,2.610441767068273
2.8112449799196786,2.4096385542168672,2.8112449799196786
3.0120481927710845,2.610441767068273,3.0120481927710845
3.21285140562249,2.8112449799196786,3.21285140562249
3.4136546184738954,3.0120481927710845,3.4136546184738954
3.6144578313253013,3.21285140562249,3.6144578313253013
3.8152610441767068,3.4136546184738954,3.8152610441767068
4.016064257028113,3.6144578313253013,4.016064257028113
4.216867469879518,3.8152610441767068,4.216867469879518
4.417670682730924,4.016064257028113,4.417670682730924
4.618473895582329,4.216867469879518,4.618473895582329
4.8192771084337345,4.216867469879518,4.8192771084337345
5.020080321285141,4.417670682730924,5.020080321285141
5.220883534136546,4.618473895582329,5.220883534136546
5.421686746987952,4.8192771084337345,5.421686746987952
5.622489959839357,5.020080321285141,5.421686746987952
5.823293172690763,5.220883534136546,5.622489959839357
6.024096385542169,5.421686746987952,5.823293172690763
6.224899598393574,5.622489959839357,6.024096385542169
6.42570281124498,5.823293172690763,6.224899598393574
6.626506024096385,6.024096385542169,6.42570281124498
6.827309236947791,6.224899598393574,6.626506024096385
7.028112449799197,6.42570281124498,6.827309236947791
7.228915662650603,6.626506024096385,7.028112449799197
7.429718875502008,6.827309236947791,7.228915662650603
7.6305220883534135,7.028112449799197,7.429718875502008
7.831325301204819,7.228915662650603,7.6305220883534135
8.032128514056225,7.429718875502008,7.831325301204819
8.23293172690763,7.6305220883534135,8.032128514056225
8.433734939759036,7.831325301204819,8.23293172690763
8.634538152610443,8.032128514056225,8.433734939759036
8.835341365461847,8.23293172690763,8.634538152610443
9.036144578313253,8.433734939759036,8.835341365461847
9.236947791164658,8.634538152610443,9.036144578313253
9.437751004016064,8.835341365461847,9.236947791164658
9.638554216867469,9.036144578313253,9.437751004016064
9.839357429718875,9.236947791164658,9.638554216867469
10.040160642570282,9.437751004016064,9.839357429718875
10.240963855421686,9.638554216867469,10.040160642570282
10.441767068273093,9.638554216867469,10.240963855421686
10.642570281124497,9.839357429718875,10.441767068273093
10.843373493975903,10.040160642570282,10.642570281124497
11.04417670682731,10.240963855421686,10.843373493975903
11.244979919678714,10.441767068273093,11.04417670682731
11.44578313253012,10.642570281124497,11.244979919678714
11.646586345381525,10.843373493975903,11.44578313253012
11.847389558232932,11.04417670682731,11.646586345381525
12.048192771084338,11.244979919678714,11.847389558232932
12.248995983935743,11.44578313253012,11.847389558232932
12.449799196787149,11.646586345381525,12.048192771084338
12.650602409638553,11.847389558232932,12.248995983935743
12.85140562248996,12.048192771084338,12.449799196787149
13.052208835341366,12.248995983935743,12.650602409638553
13.25301204819277,12.449799196787149,12.85140562248996
13.453815261044177,12.650602409638553,13.052208835341366
13.654618473895582,12.85140562248996,13.25301204819277
13.855421686746988,13.052208835341366,13.453815261044177
14.056224899598394,13.25301204819277,13.654618473895582
14.257028112449799,13.453815261044177,13.855421686746988
14.457831325301205,13.654618473895582,14.056224899598394
14.65863453815261,13.855421686746988,14.257028112449799
14.859437751004016,14.056224899598394,14.457831325301205
15.060240963855422,14.257028112449799,14.65863453815261
15.261044176706827,14.457831325301205,14.859437751004016
15.461847389558233,14.65863453815261,15.060240963855422
15.662650602409638,14.859437751004016,15.261044176706827
15.863453815261044,15.060240963855422,15.461847389558233
16.06425702811245,15.261044176706827,15.662650602409638
16.265060240963855,15.461847389558233,15.863453815261044
16.46586345381526,15.662650602409638,16.06425702811245
16.666666666666668,15.863453815261044,16.265060240963855
16.867469879518072,16.06425702811245,16.46586345381526
17.068273092369477,16.265060240963855,16.666666666666668
17.269076305220885,16.46586345381526,16.867469879518072
17.46987951807229,16.666666666666668,17.068273092369477
17.670682730923694,16.867469879518072,17.269076305220885
17.8714859437751,17.068273092369477,17.46987951807229
18.072289156626507,17.269076305220885,17.670682730923694
18.27309236947791,17.269076305220885,17.8714859437751
18.473895582329316,17.46987951807229,18.072289156626507
18.674698795180724,17.670682730923694,18.27309236947791
18.87550200803213,17.8714859437751,18.473895582329316
19.076305220883533,18.072289156626507,18.674698795180724
19.277108433734938,18.27309236947791,18.87550200803213
19.477911646586346,18.473895582329316,19.076305220883533
19.67871485943775,18.674698795180724,19.277108433734938
19.879518072289155,18.87550200803213,19.477911646586346
20.080321285140563,19.076305220883533,19.67871485943775
20.281124497991968,19.277108433734938,19.879518072289155
20.481927710843372,19.477911646586346,20.080321285140563
20.68273092369478,19.67871485943775,20.281124497991968
20.883534136546185,19.879518072289155,20.281124497991968
21.08433734939759,20.080321285140563,20.481927710843372
21.285140562248994,20.281124497991968,20.68273092369478
21.485943775100402,20.481927710843372,20.883534136546185
21.686746987951807,20.68273092369478,21.08433734939759
21.88755020080321,20.883534136546185,21.285140562248994
22.08835341365462,21.08433734939759,21.485943775100402
22.289156626506024,21.285140562248994,21.686746987951807
22.48995983935743,21.485943775100402,21.88755020080321
22.690763052208837,21.686746987951807,22.08835341365462
22.89156626506024,21.88755020080321,22.289156626506024
23.092369477911646,22.08835341365462,22.48995983935743
23.29317269076305,22.289156626506024,22.690763052208837
23.49397590361446,22.48995983935743,22.89156626506024
23.694779116465863,22.690763052208837,23.092369477911646
23.895582329317268,22.89156626506024,23.29317269076305
24.096385542168676,23.092369477911646,23.49397590361446
24.29718875502008,23.29317269076305,23.694779116465863
24.497991967871485,23.49397590361446,23.895582329317268
24.698795180722893,23.694779116465863,24.096385542168676
24.899598393574298,23.895582329317268,24.29718875502008
25.100401606425702,24.096385542168676,24.497991967871485
25.301204819277107,24.29718875502008,24.698795180722893
25.502008032128515,24.497991967871485,24.899598393574298
25.70281124497992,24.698795180722893,25.100401606425702
25.903614457831324,24.899598393574298,25.301204819277107
26.104417670682732,25.100401606425702,25.502008032128515
26.305220883534137,25.301204819277107,25.70281124497992
26.50602409638554,25.502008032128515,25.903614457831324
26.706827309236946,25.70281124497992,26.104417670682732
26.907630522088354,25.903614457831324,26.305220883534137
27.10843373493976,26.104417670682732,26.50602409638554
27.309236947791163,26.305220883534137,26.706827309236946
27.51004016064257,26.305220883534137,26.907630522088354
27.710843373493976,26.50602409638554,27.10843373493976
27.91164658634538,26.706827309236946,27.309236947791163
28.11244979919679,26.907630522088354,27.51004016064257
28.313253012048193,27.10843373493976,27.710843373493976
28.514056224899598,27.309236947791163,27.91164658634538
28.714859437751002,27.51004016064257,28.11244979919679
28.91566265060241,27.710843373493976,28.313253012048193
29.116465863453815,27.91164658634538,28.514056224899598
29.31726907630522,28.11244979919679,28.714859437751002
29.518072289156628,28.313253012048193,28.91566265060241
29.718875502008032,28.514056224899598,29.116465863453815
29.919678714859437,28.714859437751002,29.31726907630522
30.120481927710845,28.91566265060241,29.518072289156628
30.32128514056225,29.116465863453815,29.718875502008032
30.522088353413654,29.31726907630522,29.919678714859437
30.72289156626506,29.518072289156628,29.919678714859437
30.923694779116467,29.718875502008032,30.120481927710845
31.12449799196787,29.919678714859437,30.32128514056225
31.325301204819276,30.120481927710845,30.522088353413654
31.526104417670684,30.32128514056225,30.72289156626506
31.72690763052209,30.522088353413654,30.923694779116467
31.927710843373493,30.72289156626506,31.12449799196787
32.1285140562249,30.923694779116467,31.325301204819276
32.329317269076306,31.12449799196787,31.526104417670684
32.53012048192771,31.325301204819276,31.72690763052209
32.730923694779115,31.526104417670684,31.927710843373493
32.93172690763052,31.72690763052209,32.1285140562249
33.132530120481924,31.927710843373493,32.329317269076306
33.333333333333336,32.1285140562249,32.53012048192771
33.53413654618474,32.329317269076306,32.730923694779115
33.734939759036145,32.53012048192771,32.93172690763052
33.93574297188755,32.730923694779115,33.132530120481924
34.136546184738954,32.93172690763052,33.333333333333336
34.33734939759036,33.132530120481924,33.53413654618474
34.53815261044177,33.333333333333336,33.734939759036145
34.738955823293175,33.53413654618474,33.93574297188755
34.93975903614458,33.734939759036145,34.136546184738954
35.140562248995984,33.93574297188755,34.33734939759036
35.34136546184739,34.136546184738954,34.53815261044177
35.54216867469879,34.33734939759036,34.738955823293175
35.7429718875502,34.53815261044177,34.93975903614458
35.94377510040161,34.738955823293175,35.140562248995984
36.144578313253014,34.93975903614458,35.34136546184739
36.34538152610442,35.140562248995984,35.54216867469879
36.54618473895582,35.34136546184739,35.7429718875502
36.74698795180723,35.54216867469879,35.94377510040161
36.94779116465863,35.7429718875502,36.144578313253014
37.14859437751004,35.94377510040161,36.34538152610442
37.34939759036145,36.144578313253014,36.54618473895582
37.55020080321285,36.34538152610442,36.74698795180723
37.75100401606426,36.54618473895582,36.94779116465863
37.95180722891566,36.54618473895582,37.14859437751004
38.15261044176707,36.74698795180723,37.34939759036145
38.35341365461847,36.94779116465863,37.55020080321285
38.554216867469876,37.14859437751004,37.75100401606426
38.75502008032129,37.34939759036145,37.95180722891566
38.95582329317269,37.55020080321285,38.15261044176707
39.1566265060241,37.75100401606426,38.35341365461847
39.3574297188755,37.95180722891566,38.554216867469876
39.558232931726906,38.15261044176707,38.75502008032129
39.75903614457831,38.35341365461847,38.95582329317269
39.95983935742972,38.554216867469876,39.1566265060241
40.16064257028113,38.75502008032129,39.3574297188755
40.36144578313253,38.95582329317269,39.558232931726906
40.562248995983936,39.1566265060241,39.75903614457831
40.76305220883534,39.3574297188755,39.95983935742972
40.963855421686745,39.558232931726906,40.16064257028113
41.16465863453815,39.75903614457831,40.36144578313253
41.36546184738956,39.95983935742972,40.562248995983936
41.566265060240966,40.16064257028113,40.562248995983936
41.76706827309237,40.36144578313253,40.76305220883534
41.967871485943775,40.562248995983936,40.963855421686745
42.16867469879518,40.76305220883534,41.16465863453815
42.369477911646584,40.963855421686745,41.36546184738956
42.57028112449799,41.16465863453815,41.566265060240966
42.7710843373494,41.36546184738956,41.76706827309237
42.971887550200805,41.566265060240966,41.967871485943775
43.17269076305221,41.76706827309237,42.16867469879518
43.373493975903614,41.967871485943775,42.369477911646584
43.57429718875502,42.16867469879518,42.57028112449799
43.77510040160642,42.369477911646584,42.7710843373494
43.975903614457835,42.57028112449799,42.971887550200805
44.17670682730924,42.7710843373494,43.17269076305221
44.377510040160644,42.971887550200805,43.373493975903614
44.57831325301205,43.17269076305221,43.57429718875502
44.77911646586345,43.373493975903614,43.77510040160642
44.97991967871486,43.57429718875502,43.975903614457835
45.18072289156626,43.77510040160642,44.17670682730924
45.381526104417674,43.975903614457835,44.377510040160644
45.58232931726908,44.17670682730924,44.57831325301205
45.78313253012048,44.377510040160644,44.77911646586345
45.98393574297189,44.57831325301205,44.97991967871486
46.18473895582329,44.77911646586345,45.18072289156626
46.3855421686747,44.97991967871486,45.381526104417674
46.5863453815261,45.18072289156626,45.58232931726908
46.78714859437751,45.381526104417674,45.78313253012048
46.98795180722892,45.58232931726908,45.98393574297189
47.18875502008032,45.78313253012048,46.18473895582329
47.389558232931726,45.98393574297189,46.3855421686747
47.59036144578313,46.18473895582329,46.5863453815261
47.791164658634536,46.3855421686747,46.78714859437751
47.99196787148594,46.5863453815261,46.98795180722892
48.19277108433735,46.78714859437751,47.18875502008032
48.393574297188756,46.98795180722892,47.389558232931726
48.59437751004016,47.18875502008032,47.59036144578313
48.795180722891565,47.389558232931726,47.791164658634536
48.99598393574297,47.59036144578313,47.99196787148594
49.196787148594375,47.59036144578313,48.19277108433735
49.397590361445786,47.791164658634536,48.393574297188756
49.59839357429719,47.99196787148594,48.59437751004016
49.799196787148595,48.19277108433735,48.795180722891565
50.0,48.393574297188756,48.99598393574297
